date,CPI_NT_YOY,PPI_YOY,M0_YOY,M1_YOY,M2_YOY,SHIBOR_ON,SHIBOR_1W,SHIBOR_2W,SHIBOR_1M,SHIBOR_3M,SHIBOR_6M,SHIBOR_9M,SHIBOR_1Y,SF_MONTHLY,SF_STOCK,PPI_MP_YOY,PPI_CG_YOY,PPI_MOM
2006-01-01,,3.05,,,,,,,,,,,,,,4.17,-0.26,
2006-02-01,,3.01,,,,,,,,,,,,,,4.16,-0.39,
2006-03-01,,2.49,,,,,,,,,,,,,,3.45,-0.33,
2006-04-01,,1.87,,,,,,,,,,,,,,2.64,-0.39,
2006-05-01,,2.43,,,,,,,,,,,,,,3.39,-0.39,
2006-06-01,,3.52,,,,,,,,,,,,,,4.8,-0.24,
2006-07-01,,3.58,,,,,,,,,,,,,,4.8,0.0,
2006-08-01,,3.4,,,,,,,,,,,,,,4.46,0.28,
2006-09-01,,3.45,,,,,,,,,,,,,,4.41,0.62,
2006-10-01,,2.9,,,,,,,,,,,,,,3.8,0.57,
2006-11-01,,2.78,,,,,,,,,,,,,,3.38,1.0,
2006-12-01,,3.05,,,,,,,,,,,,,,3.6,1.46,
2007-01-01,,3.3,,,,,,,,,,,,,,3.82,1.81,
2007-02-01,,2.6,,,,,,,,,,,,,,2.83,1.91,
2007-03-01,,2.65,,,,,,,,,,,,,,2.93,1.85,
2007-04-01,,2.87,,,,,,,,,,,,,,3.13,2.13,
2007-05-01,,2.76,,,,,,,,,,,,,,2.87,2.44,
2007-06-01,,2.49,,,,,,,,,,,,,,2.48,2.54,
2007-07-01,,2.39,,,,,,,,,,,,,,2.15,3.07,
2007-08-01,,2.56,,,,,,,,,,,,,,2.23,3.53,
2007-09-01,,2.71,,,,,,,,,,,,,,2.5,3.32,
2007-10-01,,3.21,,,,,,,,,,,,,,3.11,3.5,
2007-11-01,,4.55,,,,,,,,,,,,,,4.83,3.72,
2007-12-01,,5.43,,,,,,,,,,,,,,6.01,3.71,
2008-01-01,7.1,6.07,31.21,20.54,18.88,,,,,,,,,,,6.53,4.63,
2008-02-01,8.7,6.62,5.96,18.95,17.39,,,,,,,,,,,7.16,4.9,
2008-03-01,8.3,7.95,11.12,17.97,16.19,,,,,,,,,,,8.72,5.48,
2008-04-01,8.5,8.12,10.7,19.05,16.94,,,,,,,,,,,8.96,5.41,
2008-05-01,7.7,8.22,12.88,17.93,18.07,,,,,,,,,,,9.19,5.11,
2008-06-01,7.1,8.84,12.28,14.19,17.37,,,,,,,,,,,10.1,4.78,
2008-07-01,6.3,10.03,12.3,13.96,16.35,,,,,,,,,,,11.71,4.6,
2008-08-01,4.9,10.06,10.89,11.48,16.0,,,,,,,,,,,11.95,3.97,
2008-09-01,4.6,9.13,9.28,9.43,15.29,,,,,,,,,,,10.83,3.65,
2008-10-01,4.0,6.59,10.59,8.85,15.02,,,,,,,,,,,7.67,3.13,
2008-11-01,2.4,1.99,9.04,6.8,14.8,,,,,,,,,,,1.95,2.12,
2008-12-01,1.2,-1.14,12.65,9.06,17.82,,,,,,,,,8164.0,37.98,-1.87,1.19,
2009-01-01,1.0,-3.35,12.02,6.68,18.79,,,,,,,,,,,-4.43,0.12,
2009-02-01,-1.6,-4.47,8.28,10.87,20.48,,,,,,,,,,,-5.72,-0.45,
2009-03-01,-1.2,-5.99,10.88,17.04,25.51,,,,,,,,,,,-7.43,-1.37,
2009-04-01,-1.5,-6.6,11.26,17.48,25.95,,,,,,,,,,,-8.11,-1.72,
2009-05-01,-1.4,-7.2,11.24,18.69,25.74,,,,,,,,,,,-8.84,-1.93,
2009-06-01,-1.7,-7.8,11.46,24.79,28.46,,,,,,,,,,,-9.6,-2.15,
2009-07-01,-1.8,-8.22,11.59,26.37,28.42,,,,,,,,,,,-10.07,-2.33,
2009-08-01,-1.2,-7.86,11.52,27.72,28.53,,,,,,,,,,,-9.75,-1.86,0.8
2009-09-01,-0.8,-6.99,15.96,29.51,29.31,,,,,,,,,,,-8.62,-1.8,0.6
2009-10-01,-0.5,-5.85,14.09,32.03,29.42,,,,,,,,,,,-7.23,-1.44,0.1
2009-11-01,0.6,-2.08,14.99,34.63,29.74,,,,,,,,,,,-2.67,-0.22,0.6
2009-12-01,1.9,1.7,11.77,32.35,27.68,,,,,,,,,8100.0,51.18,1.98,0.8,1.0
2010-01-01,1.5,4.32,-0.79,38.96,25.98,,,,,,,,,,,5.49,0.55,0.5
2010-02-01,2.7,5.39,21.98,34.99,25.52,,,,,,,,,,,6.76,0.97,0.4
2010-03-01,2.4,5.91,15.81,29.94,22.5,,,,,,,,,,,7.38,1.17,0.5
2010-04-01,2.8,6.81,15.76,31.25,21.48,,,,,,,,,,,8.5,1.4,1.0
2010-05-01,3.1,7.13,15.2,29.9,21.0,,,,,,,,,,,8.79,1.8,0.6
2010-06-01,2.9,6.41,15.7,24.6,18.5,,,,,,,,,,,7.79,1.96,-0.3
2010-07-01,3.3,4.84,15.5,22.9,17.6,,,,,,,,,,,5.69,2.09,-0.4
2010-08-01,3.5,4.32,16.0,21.9,19.2,,,,,,,,,,,4.99,2.17,0.4
2010-09-01,3.6,4.33,13.8,20.9,19.0,,,,,,,,,,,4.9,2.46,0.6
2010-10-01,4.4,5.04,16.6,22.1,19.3,,,,,,,,,,,5.8,2.58,0.7
2010-11-01,5.1,6.06,16.3,22.1,19.5,,,,,,,,,,,6.94,3.25,1.4
2010-12-01,4.6,5.93,16.7,21.2,19.7,,,,,,,,,10780.0,64.99,6.67,3.53,0.7
2011-01-01,4.9,6.64,42.5,13.6,17.2,,,,,,,,,,,7.5,3.8,0.9
2011-02-01,4.9,7.23,10.3,14.5,15.7,,,,,,,,,,,8.21,4.09,0.8
2011-03-01,5.4,7.31,14.8,15.0,16.6,,,,,,,,,,,8.22,4.36,0.6
2011-04-01,5.3,6.82,14.7,12.9,15.3,,,,,,,,,,,7.49,4.64,0.5
2011-05-01,5.5,6.79,15.4,12.7,15.1,,,,,,,,,,,7.45,4.6,0.3
2011-06-01,6.4,7.12,14.4,13.1,15.9,,,,,,,,,,,7.88,4.65,0.0
2011-07-01,6.5,7.54,14.3,11.6,14.7,,,,,,,,,,,8.4,4.75,0.0
2011-08-01,6.2,7.25,14.7,11.2,13.5,,,,,,,,,,,8.01,4.79,0.1
2011-09-01,6.1,6.52,12.68,8.85,13.04,,,,,,,,,,,7.11,4.62,0.0
2011-10-01,5.5,5.0,11.9,8.4,12.9,,,,,,,,,,,5.24,4.22,-0.7
2011-11-01,4.2,2.72,12.0,7.8,12.7,,,,,,,,,,,2.61,3.09,-0.7
2011-12-01,4.1,1.69,13.8,7.9,13.6,,,,,,,,,12744.0,76.75,1.43,2.52,-0.3
2012-01-01,4.5,0.73,3.0,3.1,12.4,,,,,,,,,,,0.32,2.11,-0.1
2012-02-01,3.2,0.03,8.8,4.3,13.0,,,,,,,,,,,-0.47,1.69,0.14
2012-03-01,3.6,-0.32,10.6,4.4,13.4,,,,,,,,,,,-0.83,1.4,0.27
2012-04-01,3.4,-0.7,10.4,3.1,12.8,,,,,,,,,,,-1.24,1.14,0.16
2012-05-01,3.0,-1.4,10.0,3.5,13.2,,,,,,,,,,,-2.09,0.91,-0.37
2012-06-01,2.2,-2.08,10.8,4.7,13.6,,,,,,,,,,,-2.93,0.73,-0.73
2012-07-01,1.8,-2.87,10.0,4.6,13.9,,,,,,,,,,,-3.87,0.44,-0.77
2012-08-01,2.0,-3.48,9.7,4.5,13.5,,,,,,,,,,,-4.59,0.2,-0.52
2012-09-01,1.9,-3.55,13.3,7.3,14.8,,,,,,,,,,,-4.68,0.14,-0.06
2012-10-01,1.7,-2.76,10.5,6.1,14.1,,,,,,,,,,,-3.68,0.23,0.16
2012-11-01,2.0,-2.2,10.7,5.5,13.9,,,,,,,,,,,-2.99,0.34,-0.12
2012-12-01,2.5,-1.94,7.7,6.5,13.8,,,,,,,,,16281.87,91.42,-2.71,0.53,-0.06
2013-01-01,2.0,-1.64,4.4,15.3,15.9,,,,,,,,,,,-2.37,0.68,0.24
2013-02-01,3.2,-1.63,17.2,9.5,15.2,,,,,,,,,,,-2.37,0.74,0.15
2013-03-01,2.1,-1.92,12.4,11.9,15.7,,,,,,,,,,,-2.68,0.51,-0.03
2013-04-01,2.4,-2.62,10.8,11.9,16.1,,,,,,,,,,,-3.52,0.29,-0.55
2013-05-01,2.1,-2.87,10.8,11.3,15.8,,,,,,,,,,,-3.79,0.09,-0.62
2013-06-01,2.7,-2.7,9.9,9.1,14.0,,,,,,,,,,,-3.53,-0.03,-0.55
2013-07-01,2.7,-2.27,9.5,9.7,14.5,,,,,,,,,,,-2.98,-0.02,-0.33
2013-08-01,2.6,-1.63,9.3,9.9,14.7,,,,,,,,,,,-2.14,0.0,0.14
2013-09-01,3.1,-1.34,5.7,8.9,14.2,,,,,,,,,,,-1.75,-0.06,0.23
2013-10-01,3.2,-1.51,8.0,8.9,14.3,,,,,,,,,,,-1.97,-0.03,0.0
2013-11-01,3.0,-1.42,7.7,9.4,14.2,,,,,,,,,,,-1.91,0.11,-0.03
2013-12-01,2.5,-1.36,7.1,9.3,13.6,,,,,,,,,12322.0,107.46,-1.78,0.01,0.01
2014-01-01,2.5,-1.64,22.5,1.2,13.2,,,,,,,,,,,-2.05,-0.35,-0.05
2014-02-01,2.0,-2.02,3.3,6.9,13.3,,,,,,,,,,,-2.54,-0.33,-0.2
2014-03-01,2.4,-2.3,5.2,5.4,12.1,,,,,,,,,,,-2.95,-0.21,-0.32
2014-04-01,1.8,-2.0,5.4,5.5,13.2,,,,,,,,,,,-2.61,-0.06,-0.25
2014-05-01,2.5,-1.45,6.7,5.7,13.4,,,,,,,,,,,-1.95,0.17,-0.06
2014-06-01,2.3,-1.11,5.3,8.9,14.7,,,,,,,,,,,-1.53,0.23,-0.21
2014-07-01,2.3,-0.87,5.4,6.7,13.5,,,,,,,,,,,-1.22,0.26,-0.09
2014-08-01,2.0,-1.2,5.6,5.7,12.8,,,,,,,,,,,-1.65,0.24,-0.2
2014-09-01,1.6,-1.8,4.2,4.8,12.9,,,,,,,,,,,-2.39,0.11,-0.4
2014-10-01,1.6,-2.24,3.8,3.2,12.6,,,,,,,,,,,-2.95,0.04,-0.4
2014-11-01,1.4,-2.69,3.5,3.2,12.3,,,,,,,,,,,-3.49,-0.13,-0.49
2014-12-01,1.5,-3.32,2.9,3.2,12.2,,,,,,,,,16945.0,122.86,-4.29,-0.16,-0.63
2015-01-01,0.8,-4.32,-17.6,10.6,10.8,,,,,,,,,,,-5.6,-0.15,-1.09
2015-02-01,1.4,-4.8,17.0,5.6,12.5,,,,,,,,,,,-6.24,-0.13,-0.73
2015-03-01,1.4,-4.56,6.2,2.9,11.6,,,,,,,,,12406.67,127.68,-5.93,-0.14,-0.07
2015-04-01,1.5,-4.57,3.7,3.7,10.1,,,,,,,,,,,-5.92,-0.23,-0.26
2015-05-01,1.2,-4.61,1.8,4.7,10.8,,,,,,,,,,,-5.95,-0.29,-0.09
2015-06-01,1.4,-4.81,2.9,4.3,11.8,,,,,,,,,18334.17,131.7,-6.24,-0.23,-0.43
2015-07-01,1.6,-5.37,2.9,6.6,13.3,,,,,,,,,,,-6.95,-0.28,-0.68
2015-08-01,2.0,-5.92,1.8,9.3,13.3,,,,,,,,,,,-7.66,-0.33,-0.78
2015-09-01,1.6,-5.95,3.7,11.4,13.1,,,,,,,,,13289.77,134.7,-7.72,-0.25,-0.4
2015-10-01,1.3,-5.9,3.8,14.0,13.5,,,,,,,,,,,-7.6,-0.4,-0.4
2015-11-01,1.5,-5.9,3.2,15.7,13.7,,,,,,,,,,,-7.6,-0.4,-0.5
2015-12-01,1.6,-5.9,4.9,15.2,13.3,,,,,,,,,18151.39,138.14,-7.6,-0.4,-0.6
2016-01-01,1.8,-5.3,15.1,18.6,14.0,,,,,,,,,34757.72,141.57,-6.9,-0.5,-0.5
2016-02-01,2.3,-4.9,-4.8,17.4,13.3,,,,,,,,,8312.09,142.52,-6.5,-0.4,-0.3
2016-03-01,2.3,-4.3,4.4,22.1,13.4,,,,,,,,,23930.51,144.75,-5.7,-0.2,0.5
2016-04-01,2.3,-3.4,6.0,22.9,12.8,,,,,,,,,7809.39,145.59,-4.5,-0.2,0.7
2016-05-01,2.0,-2.8,6.3,23.7,11.8,,,,,,,,,6769.54,146.33,-3.7,-0.2,0.5
2016-06-01,1.9,-2.6,7.2,24.6,11.8,,,,,,,,,16479.0,147.99,-3.5,-0.1,-0.2
2016-07-01,1.8,-1.7,7.2,25.4,10.2,,,,,,,,,4791.0,148.37,-2.3,0.0,0.2
2016-08-01,1.3,-0.8,7.4,25.3,11.4,,,,,,,,,14605.0,149.81,-1.0,0.0,0.2
2016-09-01,1.9,0.1,6.6,24.7,11.5,,,,,,,,,17115.0,151.51,0.1,0.0,0.5
2016-10-01,2.1,1.2,7.2,23.9,11.6,,,,,,,,,8865.0,152.43,1.6,0.1,0.7
2016-11-01,2.3,3.3,7.6,22.7,11.4,,,,,,,,,18328.0,154.35,4.3,0.4,1.5
2016-12-01,2.1,5.5,8.1,21.4,11.3,,,,,,,,,16260.0,155.99,7.2,0.8,1.6
2017-01-01,2.5,6.9,19.4,14.5,10.7,,,,,,,,,37720.08,184.14,9.1,0.8,0.8
2017-02-01,0.8,7.8,3.3,21.4,10.45,,,,,,,,,11055.32,185.25,10.4,0.8,0.6
2017-03-01,0.9,7.6,6.1,18.8,10.12,,,,,,,,,25471.64,187.79,10.1,0.7,0.3
2017-04-01,1.2,6.4,6.2,18.5,9.84,,,,,,,,,19558.92,189.71,8.4,0.7,-0.4
2017-05-01,1.5,5.5,7.3,17.0,9.13,,,,,,,,,17811.73,191.46,7.3,0.6,-0.3
2017-06-01,1.5,5.5,6.6,15.0,9.1,,,,,,,,,25885.91,193.97,7.3,0.5,-0.2
2017-07-01,1.4,5.5,6.1,15.3,8.89,,,,,,,,,21188.11,195.98,7.3,0.5,0.2
2017-08-01,1.8,6.3,6.5,14.0,8.56,,,,,,,,,20485.51,197.94,8.3,0.6,0.9
2017-09-01,1.6,6.9,7.2,14.0,8.98,,,,,,,,,25438.61,200.44,9.1,0.7,1.0
2017-10-01,1.9,6.9,6.3,13.0,8.88,,,,,,,,,15861.15,201.96,9.0,0.8,0.7
2017-11-01,1.7,5.8,5.7,12.7,9.11,,,,,,,,,22955.98,204.19,7.5,0.6,0.5
2017-12-01,1.8,4.9,3.4,11.8,8.07,,,,,,,,,18102.88,205.91,6.4,0.5,0.8
2018-01-01,1.5,4.3,-13.8,15.0,8.6,,,,,,,,,31417.22,208.88,5.7,0.3,0.3
2018-02-01,2.9,3.7,13.5,8.5,8.8,,,,,,,,,12064.39,210.05,4.8,0.3,-0.1
2018-03-01,2.1,3.1,6.0,7.1,8.2,2.69,2.9166,3.881,4.2884,4.4615,4.5686,4.6021,4.6508,17091.48,211.62,4.1,0.2,-0.2
2018-04-01,1.8,3.4,4.5,7.2,8.3,2.824,2.972,3.868,3.9,4.005,4.18,4.309,4.382,22242.94,213.72,4.5,0.1,-0.2
2018-05-01,1.8,4.1,3.6,6.0,8.3,2.831,2.898,3.735,3.905,4.329,4.296,4.333,4.388,11233.62,214.81,5.4,0.3,0.4
2018-06-01,1.9,4.7,3.9,6.6,8.0,2.628,2.862,3.825,4.031,4.155,4.223,4.273,4.331,20372.96,216.78,6.1,0.4,0.3
2018-07-01,2.1,4.6,3.6,5.1,8.5,2.066,2.648,2.812,2.965,3.174,3.38,3.589,3.712,18381.94,218.49,6.0,0.6,0.1
2018-08-01,2.3,4.1,3.3,3.9,8.2,2.309,2.633,2.68,2.72,2.894,3.207,3.415,3.503,24078.25,220.74,5.2,0.7,0.4
2018-09-01,2.5,3.6,2.2,4.0,8.3,2.653,2.766,3.473,2.802,2.847,3.287,3.489,3.521,23061.25,222.9,4.6,0.8,0.6
